,X.,Date_Time,Temp,Batt..V..,Coupler.Detached..,Coupler.Attached..,Stopped..,End.Of.File..,Date,Time
c..09.08.2011....09.49..,196,09/08/2011 09:49,16.177,3.6,,,,,08/09/2011,949
c..09.08.2011....10.19..,197,09/08/2011 10:19,16.129,3.6,,,,,08/09/2011,1019
c..09.08.2011....10.49..,198,09/08/2011 10:49,16.272,3.6,,,,,08/09/2011,1049
c..09.08.2011....11.19..,199,09/08/2011 11:19,16.558,3.6,,,,,08/09/2011,1119
c..09.08.2011....11.49..,200,09/08/2011 11:49,17.011,3.6,,,,,08/09/2011,1149
c..09.08.2011....12.19..,201,09/08/2011 12:19,16.939,3.6,,,,,08/09/2011,1219
c..09.08.2011....12.49..,202,09/08/2011 12:49,17.249,3.6,,,,,08/09/2011,1249
c..09.08.2011....13.19..,203,09/08/2011 13:19,17.439,3.6,,,,,08/09/2011,1319
c..09.08.2011....13.49..,204,09/08/2011 13:49,17.629,3.6,,,,,08/09/2011,1349
c..09.08.2011....14.19..,205,09/08/2011 14:19,17.891,3.6,,,,,08/09/2011,1419
c..09.08.2011....14.49..,206,09/08/2011 14:49,17.867,3.6,,,,,08/09/2011,1449
c..09.08.2011....15.19..,207,09/08/2011 15:19,17.748,3.6,,,,,08/09/2011,1519
c..09.08.2011....15.49..,208,09/08/2011 15:49,17.249,3.6,,,,,08/09/2011,1549
c..09.08.2011....16.19..,209,09/08/2011 16:19,17.32,3.6,,,,,08/09/2011,1619
c..09.08.2011....16.49..,210,09/08/2011 16:49,17.582,3.6,,,,,08/09/2011,1649
c..09.08.2011....17.19..,211,09/08/2011 17:19,17.724,3.6,,,,,08/09/2011,1719
c..09.08.2011....17.49..,212,09/08/2011 17:49,17.463,3.6,,,,,08/09/2011,1749
c..09.08.2011....18.19..,213,09/08/2011 18:19,17.677,3.6,,,,,08/09/2011,1819
c..09.08.2011....18.49..,214,09/08/2011 18:49,17.486,3.6,,,,,08/09/2011,1849
c..09.08.2011....19.19..,215,09/08/2011 19:19,17.201,3.6,,,,,08/09/2011,1919
c..09.08.2011....19.49..,216,09/08/2011 19:49,17.13,3.6,,,,,08/09/2011,1949
c..09.08.2011....20.19..,217,09/08/2011 20:19,16.987,3.6,,,,,08/09/2011,2019
c..09.08.2011....20.49..,218,09/08/2011 20:49,16.773,3.6,,,,,08/09/2011,2049
c..09.08.2011....21.19..,219,09/08/2011 21:19,16.725,3.6,,,,,08/09/2011,2119
c..09.08.2011....21.49..,220,09/08/2011 21:49,16.439,3.6,,,,,08/09/2011,2149
c..09.08.2011....22.19..,221,09/08/2011 22:19,16.392,3.6,,,,,08/09/2011,2219
c..09.08.2011....22.49..,222,09/08/2011 22:49,16.272,3.6,,,,,08/09/2011,2249
c..09.08.2011....23.19..,223,09/08/2011 23:19,16.439,3.6,,,,,08/09/2011,2319
c..09.08.2011....23.49..,224,09/08/2011 23:49,16.296,3.6,,,,,08/09/2011,2349
