,X.,Date_Time,Temp,Logged,X,X.1,X.2,X.3,X.4,Date,Time
c..07.30.14....03.30.38...1,196,07/30/14 03:30:38,16.677,3.57,,,,,,30/07/2014,34238
c..07.30.14....04.00.38...1,197,07/30/14 04:00:38,16.654,3.57,,,,,,30/07/2014,41238
c..07.30.14....04.30.38...1,198,07/30/14 04:30:38,16.725,3.57,,,,,,30/07/2014,44238
c..07.30.14....05.00.38...1,199,07/30/14 05:00:38,16.749,3.57,,,,,,30/07/2014,51238
c..07.30.14....05.30.38...1,200,07/30/14 05:30:38,16.701,3.57,,,,,,30/07/2014,54238
c..07.30.14....06.00.38...1,201,07/30/14 06:00:38,16.654,3.57,,,,,,30/07/2014,61238
c..07.30.14....06.30.38...1,202,07/30/14 06:30:38,16.677,3.57,,,,,,30/07/2014,64238
c..07.30.14....07.00.38...1,203,07/30/14 07:00:38,16.63,3.57,,,,,,30/07/2014,71238
c..07.30.14....07.30.38...1,204,07/30/14 07:30:38,16.606,3.57,,,,,,30/07/2014,74238
c..07.30.14....08.00.38...1,205,07/30/14 08:00:38,16.558,3.57,,,,,,30/07/2014,81238
c..07.30.14....08.30.38...1,206,07/30/14 08:30:38,16.534,3.57,,,,,,30/07/2014,84238
c..07.30.14....09.00.38...1,207,07/30/14 09:00:38,16.534,3.57,,,,,,30/07/2014,91238
c..07.30.14....09.30.38...1,208,07/30/14 09:30:38,16.439,3.57,,,,,,30/07/2014,94238
c..07.30.14....10.00.38...1,209,07/30/14 10:00:38,16.511,3.57,,,,,,30/07/2014,101238
c..07.30.14....10.30.38...1,210,07/30/14 10:30:38,16.534,3.57,,,,,,30/07/2014,104238
c..07.30.14....11.00.38...1,211,07/30/14 11:00:38,16.534,3.57,,,,,,30/07/2014,111238
c..07.30.14....11.30.38...1,212,07/30/14 11:30:38,16.368,3.57,,,,,,30/07/2014,114238
c..07.31.14....12.00.38..,213,07/31/14 12:00:38,16.272,3.57,,,,,,31/07/2014,120038
c..07.31.14....12.30.38..,214,07/31/14 12:30:38,16.106,3.57,,,,,,31/07/2014,123038
c..07.31.14....01.00.38..,215,07/31/14 01:00:38,16.034,3.57,,,,,,31/07/2014,10038
c..07.31.14....01.30.38..,216,07/31/14 01:30:38,16.106,3.57,,,,,,31/07/2014,13038
c..07.31.14....02.00.38..,217,07/31/14 02:00:38,15.986,3.57,,,,,,31/07/2014,20038
c..07.31.14....02.30.38..,218,07/31/14 02:30:38,16.058,3.57,,,,,,31/07/2014,23038
c..07.31.14....03.00.38..,219,07/31/14 03:00:38,15.939,3.57,,,,,,31/07/2014,30038
c..07.31.14....03.30.38..,220,07/31/14 03:30:38,16.153,3.57,,,,,,31/07/2014,33038
c..07.31.14....04.00.38..,221,07/31/14 04:00:38,16.082,3.57,,,,,,31/07/2014,40038
c..07.31.14....04.30.38..,222,07/31/14 04:30:38,15.963,3.57,,,,,,31/07/2014,43038
c..07.31.14....05.00.38..,223,07/31/14 05:00:38,15.7,3.57,,,,,,31/07/2014,50038
c..07.31.14....05.30.38..,224,07/31/14 05:30:38,15.7,3.57,,,,,,31/07/2014,53038
c..07.31.14....06.00.38..,225,07/31/14 06:00:38,15.867,3.57,,,,,,31/07/2014,60038
c..07.31.14....06.30.38..,226,07/31/14 06:30:38,16.129,3.57,,,,,,31/07/2014,63038
c..07.31.14....07.00.38..,227,07/31/14 07:00:38,15.867,3.57,,,,,,31/07/2014,70038
c..07.31.14....07.30.38..,228,07/31/14 07:30:38,15.748,3.57,,,,,,31/07/2014,73038
c..07.31.14....08.00.38..,229,07/31/14 08:00:38,15.939,3.57,,,,,,31/07/2014,80038
c..07.31.14....08.30.38..,230,07/31/14 08:30:38,15.986,3.57,,,,,,31/07/2014,83038
c..07.31.14....09.00.38..,231,07/31/14 09:00:38,16.225,3.57,,,,,,31/07/2014,90038
c..07.31.14....09.30.38..,232,07/31/14 09:30:38,16.487,3.57,,,,,,31/07/2014,93038
c..07.31.14....10.00.38..,233,07/31/14 10:00:38,16.701,3.57,,,,,,31/07/2014,100038
c..07.31.14....10.30.38..,234,07/31/14 10:30:38,16.868,3.57,,,,,,31/07/2014,103038
c..07.31.14....11.00.38..,235,07/31/14 11:00:38,16.939,3.57,,,,,,31/07/2014,110038
c..07.31.14....11.30.38..,236,07/31/14 11:30:38,16.677,3.57,,,,,,31/07/2014,113038
c..07.31.14....12.00.38...1,237,07/31/14 12:00:38,17.011,3.57,,,,,,31/07/2014,121238
c..07.31.14....12.30.38...1,238,07/31/14 12:30:38,16.892,3.57,,,,,,31/07/2014,124238
c..07.31.14....01.00.38...1,239,07/31/14 01:00:38,17.13,3.57,,,,,,31/07/2014,11238
c..07.31.14....01.30.38...1,240,07/31/14 01:30:38,17.249,3.57,,,,,,31/07/2014,14238
c..07.31.14....02.00.38...1,241,07/31/14 02:00:38,17.51,3.57,,,,,,31/07/2014,21238
c..07.31.14....02.30.38...1,242,07/31/14 02:30:38,17.653,3.57,,,,,,31/07/2014,24238
c..07.31.14....03.00.38...1,243,07/31/14 03:00:38,17.701,3.57,,,,,,31/07/2014,31238
c..07.31.14....03.30.38...1,244,07/31/14 03:30:38,17.51,3.57,,,,,,31/07/2014,34238
c..07.31.14....04.00.38...1,245,07/31/14 04:00:38,17.463,3.57,,,,,,31/07/2014,41238
c..07.31.14....04.30.38...1,246,07/31/14 04:30:38,17.391,3.57,,,,,,31/07/2014,44238
